stars,comment
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  This laptop have been giving my son significant issues especially with the battery. Mere weeks after purchasing the laptop it will not work unless it is plugged in. My son has his school assignment and is having nightmares trying to complete an assignment. He tried to persist with it but working with a laptop that does not give you a good half hour after powering up something is wrong. Some letters on the keyboard stick when you press them and do type.', 'As a parent and the one that purchase this laptop I know that I have disadvantage my son and feel very responsible for this inadequate purchase on my part.\n', '\n  \n']"
2.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I bought this model at $800 realizing it isn’t on the high or low end of the spectrum when it comes to buying a laptop, but I’ve already sent this unit in twice for repairs and it looks like I’m going to have to send it again. I’m not saying anything negative about the customer service which is why I’m giving 2 stars because they’ve been nothing but kind and have assisted me greatly. But to send in a unit three times for repair within three months and cost $800?! Save your money and look for a different unit.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  This laptop is used by my wife and replaces her older 2016 Dell Inspiron 15 3000 3552 laptop.  She enjoys the speed, feel of the keyboard and the touchscreen display.  Haven't heard of any complaints, only praise.\n"", '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  This review is being written by a non techie person.', 'Good memory, well lit screen, easy use.  I use this laptop', 'for email and publisher.  Works well.  The laptop is', 'heavier then you might like if you carry your laptop', 'often.  It is fine for me as I rarely take it off my desk at', 'home. I thought the price was very good for the capabilities', 'It has.\n', '\n  \n']"
2.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  All good with the laptop ecxept for the ethernet speed, the specifications said gigabit ethernet port, but it max up at 100mbps download. I spoke to Dell support tech and i tried everything to get it over 100mbps but no luck. I was able to get the wifi speed over 200mbps but still low based on my 600mbps internet service.\n', '\n  \n']"
3.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  The boot time is pretty long. After 30 mins of moderate usage I started getting ""not responding"" errors. Load time for applications was surprisingly long. The typing on the keyboard was laggy, just out of the box. I would not recommend this laptop for any more than light surfing and streaming.', 'The seller is awesome though. I would buy from them any time.\n', '\n  \n']"
5.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', ""\n  I am a software developer and have been using some memory intensive programs and needed an upgrade. I have been extremely happy with this machine from the second it came out of the box. Boot speed is incredible with the SSD, I timed my bootup from completely off is about 12 seconds. I am running a data heavy node application, heavy development server, VScode, spotify, and about 10 tabs on google chrome and this thing isn't even breaking a sweat. With mentioned programs I'm still using a little less than half the memory and barely utilizing the cpu. I did a ton of research and this was the absolute best bang for the buck I could find, and would buy again in a heartbeat."", 'Only flaws -', ""Screen is OKAY. I wasn't buying this machine for the screen but I have seen laptops in the price range with better displays."", 'Why is this thing touchscreen? Literally no need.\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  I bought this laptop for personal home use. Mainly internet searching / surfing and using Microsoft Office. I do not have many hours on the machine yet. I bought it configured with extra RAM and a SSD for fast boot, speedy and quiet operation. Overall the machine seems to boot quick and run fast. My one negative is that this Dell has a VERY loud fan that cycles on and off. With no optical drive, I wonder what the chip set is doing to generate enough heat to make the fan run.\n', '\n  \n']"
4.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  We purchased this laptop for my college-bound engineering student. Price was good, and we like Dell and have another Inspiron with an SSD, but not one that also has a 1t hard drive. We are surprised at how loud the fan is but would still recommend this laptop.\n', '\n  \n']"
1.0 out of 5 stars,"['\n\n\n\n\n\n\n\n\n\n  \n  \n    ', '\n  It came poorly packed and not usable as the screen was too dark even at the highest setting. Ten minutes in, an error message that the hard drive needs to be scanned for errors. Scan completed showed multiple system errors. Asked for a replacement 9 days ago and return was approved, still being processed... my daughter needs a laptop for school and we have nothing after spending $700.00.\n', '\n  \n']"
